Comment,Designator,Footprint,LCSC
100 nF,"C1,C2,C3,C4,C5,C6",C_0603_1608Metric,C14663
100R,"R2,R3,R4",R_0603_1608Metric,C22775
33R,"R1,R5",R_0603_1608Metric,C23140
LED_UV,"D12,D4,D8",LED_PLCC_2835,C2827317
WS2812B,"D1,D5,D9",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,C2843786
LED_WW,"D10,D2,D6",LED_PLCC_2835,C2843875
LED_CW,"D11,D3,D7",LED_PLCC_2835,C2843876
WS2811,"U1,U2,U3",SO-8_3.9x4.9mm_P1.27mm,C2920043
